document_name,page_number,country,iso3,frequency
OCR-D26744506.json,1,Afghanistan,AFG,1
OCR-D26744506.json,1,Syrian Arab Republic,SYR,1
OCR-D26744506.json,5,Ethiopia,ETH,1
OCR-D26744506.json,5,Kenya,KEN,1
OCR-D26744506.json,5,Myanmar,MMR,1
OCR-D26744506.json,6,Bangladesh,BGD,1
OCR-D26744506.json,6,Rwanda,RWA,1
OCR-D26744506.json,7,Afghanistan,AFG,1
OCR-D26744506.json,7,Central African Republic,CAF,1
OCR-D26744506.json,7,Congo,COG,1
OCR-D26744506.json,7,Germany,DEU,1
OCR-D26744506.json,7,Eritrea,ERI,1
OCR-D26744506.json,7,Ethiopia,ETH,1
OCR-D26744506.json,7,Iraq,IRQ,1
OCR-D26744506.json,7,Jordan,JOR,1
OCR-D26744506.json,7,Kenya,KEN,1
OCR-D26744506.json,7,Lebanon,LBN,1
OCR-D26744506.json,7,Myanmar,MMR,1
OCR-D26744506.json,7,Pakistan,PAK,1
OCR-D26744506.json,7,Sudan,SDN,1
OCR-D26744506.json,7,Somalia,SOM,1
OCR-D26744506.json,7,South Sudan,SSD,1
OCR-D26744506.json,7,Sweden,SWE,1
OCR-D26744506.json,7,Syrian Arab Republic,SYR,1
OCR-D26744506.json,8,Afghanistan,AFG,1
OCR-D26744506.json,8,Congo,COG,1
OCR-D26744506.json,8,Germany,DEU,1
OCR-D26744506.json,8,Eritrea,ERI,1
OCR-D26744506.json,8,Ethiopia,ETH,1
OCR-D26744506.json,8,Iraq,IRQ,1
OCR-D26744506.json,8,Jordan,JOR,1
OCR-D26744506.json,8,Kenya,KEN,1
OCR-D26744506.json,8,Lebanon,LBN,1
OCR-D26744506.json,8,Myanmar,MMR,1
OCR-D26744506.json,8,Pakistan,PAK,1
OCR-D26744506.json,8,Sudan,SDN,1
OCR-D26744506.json,8,Somalia,SOM,1
OCR-D26744506.json,8,South Sudan,SSD,1
OCR-D26744506.json,8,Uganda,UGA,1
OCR-D26744506.json,9,Kenya,KEN,1
