document,page,country,iso3,frequency
OCR-D437919.json,8,Ukraine,UKR,1
OCR-D437919.json,8,Romania,ROU,1
OCR-D437919.json,8,Georgia,GEO,1
OCR-D437919.json,8,Hungary,HUN,1
OCR-D437919.json,8,Czechia,CZE,1
OCR-D437919.json,8,Uzbekistan,UZB,1
OCR-D437919.json,8,Estonia,EST,1
OCR-D437919.json,8,Belarus,BLR,1
OCR-D437919.json,8,Bulgaria,BGR,1
OCR-D437919.json,8,Slovenia,SVN,1
OCR-D437919.json,8,Kazakhstan,KAZ,1
OCR-D437919.json,8,Azerbaijan,AZE,1
OCR-D437919.json,12,Armenia,ARM,1
OCR-D437919.json,12,Belarus,BLR,1
OCR-D437919.json,12,Azerbaijan,AZE,1
OCR-D437919.json,12,Bulgaria,BGR,1
OCR-D437919.json,20,Armenia,ARM,1
OCR-D437919.json,20,Croatia,HRV,1
OCR-D437919.json,20,Georgia,GEO,1
OCR-D437919.json,20,Czechia,CZE,1
OCR-D437919.json,20,Estonia,EST,1
OCR-D437919.json,20,Belarus,BLR,1
OCR-D437919.json,20,Bulgaria,BGR,1
OCR-D437919.json,20,Azerbaijan,AZE,1
OCR-D437919.json,34,Armenia,ARM,1
OCR-D437919.json,39,Armenia,ARM,1
OCR-D437919.json,39,Croatia,HRV,1
OCR-D437919.json,39,Czechia,CZE,1
OCR-D437919.json,39,Estonia,EST,1
OCR-D437919.json,39,Belarus,BLR,1
OCR-D437919.json,39,Bulgaria,BGR,1
OCR-D437919.json,39,Azerbaijan,AZE,1
OCR-D437919.json,41,Russia,,1
OCR-D437919.json,46,United Kingdom,GBR,1
OCR-D437919.json,46,Morocco,MAR,1
OCR-D437919.json,46,Russia,,1
OCR-D437919.json,47,Russia,,1
OCR-D31178056.json,1,Senegal,SEN,1
OCR-D31178056.json,1,Rwanda,RWA,1
OCR-D31178056.json,1,Burkina Faso,BFA,1
OCR-D31178056.json,5,Senegal,SEN,1
OCR-D31178056.json,5,Rwanda,RWA,1
OCR-D31178056.json,5,Burkina Faso,BFA,1
OCR-D31178056.json,6,Kenya,KEN,1
OCR-D31178056.json,15,Senegal,SEN,1
OCR-D31178056.json,15,Rwanda,RWA,1
OCR-D31178056.json,15,Burkina Faso,BFA,1
OCR-D31178056.json,16,Senegal,SEN,1
OCR-D31178056.json,16,Rwanda,RWA,1
OCR-D31178056.json,16,Burkina Faso,BFA,1
OCR-D31178056.json,17,Senegal,SEN,1
OCR-D31178056.json,17,Rwanda,RWA,1
OCR-D31178056.json,17,Burkina Faso,BFA,1
OCR-D31178056.json,19,Senegal,SEN,1
OCR-D31178056.json,19,Rwanda,RWA,1
OCR-D31178056.json,19,Burkina Faso,BFA,1
